time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-11-11T01:12:39.191Z,-6.9712,129.6563,127.087,4.9,mb,73,48,2.445,0.67,us,us7000nr2z,2024-11-12T04:20:55.040Z,"Banda Sea",earthquake,8.71,5.746,0.064,79,reviewed,us,us
2024-11-10T22:35:12.752Z,-4.9359,132.0684,10,5,mb,32,133,2.011,1.15,us,us7000nr2k,2024-11-10T22:46:40.040Z,"107 km NW of Tual, Indonesia",earthquake,3.68,1.874,0.115,24,reviewed,us,us
2024-11-10T22:10:04.756Z,-29.779,-69.4465,109.285,4.9,mb,70,40,0.596,0.99,us,us7000nr2d,2024-11-10T22:26:00.040Z,"84 km NW of San José de Jáchal, Argentina",earthquake,5.7,6.2,0.053,115,reviewed,us,us
2024-11-10T21:29:00.257Z,-4.9391,132.0305,10,4.9,mb,62,63,2.018,0.63,us,us7000nr2a,2024-11-10T22:15:47.040Z,"110 km NW of Tual, Indonesia",earthquake,6.79,1.813,0.071,62,reviewed,us,us
2024-11-10T20:55:16.326Z,48.9638,153.4229,151.442,4.5,mb,73,137,4.949,0.59,us,us7000nr26,2024-11-10T21:12:55.040Z,"272 km SW of Severo-Kuril’sk, Russia",earthquake,10.64,7.538,0.057,89,reviewed,us,us
2024-11-10T18:45:37.901Z,19.7783,-77.1332,15.315,4.6,mb,49,83,0.704,0.75,us,us7000nr1g,2024-11-11T20:43:11.302Z,"47 km SSW of Bartolomé Masó, Cuba",earthquake,4.49,4.681,0.066,69,reviewed,us,us
2024-11-10T17:53:19.081Z,-19.1,169.5187,286.66,4.6,mb,44,118,3.996,0.84,us,us7000nr10,2024-11-10T18:10:31.040Z,"54 km NNE of Isangel, Vanuatu",earthquake,11.85,8.203,0.056,95,reviewed,us,us
2024-11-10T17:23:31.685Z,-24.3444,-69.3494,95.902,4.5,mb,28,94,0.843,1.17,us,us7000nr0y,2024-11-10T17:43:22.040Z,"131 km SE of Antofagasta, Chile",earthquake,4.67,6.51,0.14,15,reviewed,us,us
2024-11-10T16:49:50.382Z,19.8116,-77.0391,14,6.8,mww,87,25,0.61,0.89,us,us7000nr0v,2024-11-12T17:57:41.802Z,"40 km SSW of Bartolomé Masó, Cuba",earthquake,2.61,1.655,0.032,94,reviewed,us,us
2024-11-10T16:28:29.547Z,-19.5596,-175.5929,217.958,4.6,mb,32,102,5.372,1.17,us,us7000nr0q,2024-11-10T16:42:56.040Z,"132 km WNW of Pangai, Tonga",earthquake,12.5,9.026,0.092,35,reviewed,us,us
